ID,Age,Weight (kg),Breed,Symptoms,Previous Health Issues,Hydration (%),Heart Rate (bpm),Respiratory Rate (bpm),Temperature (°C),Environmental Exposure,Health Risk (%),Health Risk Level,Diagnosis,Potential Causes,Recommended Diet,Consult Vet
1,12,4.6,British Shorthair,"Lethargy, Loss of Appetite, Sneezing",Arthritis,51,213,24,38.6,Both,79,High,Kidney Failure,"Genetic, Dehydration",Renal Support Diet,Yes
2,8,4.3,Scottish Fold,None,None,74,163,20,40.0,Indoor,69,High,Heart Disease,"Genetic, Poor Diet","Wet food, Hydration",Yes
3,11,4.6,Bengal,None,Arthritis,57,204,29,39.6,Both,100,Severe,Healthy,N/A,Low-sodium Diet,Yes
4,11,5.3,Maine Coon,"None, Difficulty Breathing",Diabetes,48,154,38,38.5,Outdoor,15,Low,Healthy,N/A,Low-sodium Diet,No
5,13,6.2,Bengal,Weight Loss,None,59,188,36,39.3,Indoor,11,Low,Healthy,N/A,Low-sodium Diet,No
6,6,5.1,Bengal,Loss of Appetite,Obesity,75,163,40,39.2,Both,10,Low,Healthy,N/A,Low-sodium Diet,No
7,12,3.2,Sphynx,Vomiting,None,48,204,25,38.7,Both,11,Low,Healthy,N/A,Balanced Diet,No
8,6,4.7,Siamese,None,Arthritis,67,156,24,39.6,Indoor,1,Low,Healthy,N/A,Balanced Diet,No
9,4,4.3,Persian,"Vomiting, Lethargy",Obesity,66,164,21,38.7,Indoor,100,Severe,Healthy,N/A,Diabetic-friendly Diet,Yes
10,3,3.0,Persian,None,Diabetes,55,168,30,37.6,Both,96,Severe,Obesity,N/A,Diabetic-friendly Diet,Yes
11,12,4.8,Bengal,"Vomiting, Lethargy, Weight Loss",None,56,182,34,39.9,Indoor,8,Low,Healthy,N/A,High-protein Diet,No
12,11,5.1,Siamese,"Weight Loss, None",None,55,190,37,39.3,Outdoor,18,Low,Healthy,N/A,Renal Support Diet,No
13,9,3.8,Ragdoll,Sneezing,Diabetes,63,176,35,37.6,Outdoor,64,High,Heart Disease,"Dust, N/A",Balanced Diet,Yes
14,5,6.2,Maine Coon,"Coughing, Difficulty Breathing",Kidney Disease,57,141,30,39.8,Indoor,33,Moderate,Heart Disease,Dehydration,Low-sodium Diet,No
15,13,4.5,British Shorthair,Lethargy,Obesity,71,176,26,39.2,Indoor,54,High,Healthy,N/A,Diabetic-friendly Diet,Yes
16,12,3.2,Maine Coon,"Lethargy, None, Weight Loss",Heart Condition,70,216,22,37.6,Indoor,45,Moderate,Kidney Failure,Dust,Renal Support Diet,No
17,6,6.8,Bengal,Weight Loss,Obesity,52,187,30,38.0,Both,55,High,Diabetes,N/A,Balanced Diet,Yes
18,14,3.5,British Shorthair,"Loss of Appetite, Vomiting, Sneezing",Diabetes,56,145,33,39.2,Outdoor,3,Low,Healthy,N/A,Balanced Diet,No
19,12,3.7,Bengal,"Weight Loss, Difficulty Breathing, None",Heart Condition,66,188,34,38.9,Indoor,52,High,Heart Disease,"Poor Diet, Stress","Wet food, Hydration",Yes
20,3,4.4,Maine Coon,"None, Difficulty Breathing",Heart Condition,51,162,23,38.6,Indoor,75,High,Obesity,Genetic,Low-sodium Diet,Yes
21,10,5.1,Sphynx,Difficulty Breathing,Diabetes,74,210,35,39.6,Indoor,75,High,Respiratory Infection,"Stress, Allergies",Diabetic-friendly Diet,Yes
22,12,3.5,Maine Coon,None,Heart Condition,56,145,25,38.1,Indoor,19,Low,Healthy,N/A,High-protein Diet,No
23,5,4.5,Ragdoll,None,Obesity,66,171,33,37.8,Both,85,Severe,Obesity,Stress,Diabetic-friendly Diet,Yes
24,10,4.8,Sphynx,"Vomiting, Difficulty Breathing",None,47,209,26,39.3,Outdoor,62,High,Diabetes,Stress,"Wet food, Hydration",Yes
25,7,3.8,Persian,Loss of Appetite,Kidney Disease,45,181,21,37.6,Both,66,High,Gastrointestinal Issue,Stress,High-protein Diet,Yes
26,1,4.8,Scottish Fold,"Coughing, Vomiting",Obesity,53,159,27,38.2,Outdoor,65,High,Obesity,"Dust, Stress",Renal Support Diet,Yes
27,13,3.7,British Shorthair,None,Obesity,46,181,24,39.3,Indoor,15,Low,Healthy,N/A,Balanced Diet,No
28,10,2.6,Bengal,Coughing,None,61,178,33,38.5,Indoor,55,High,Healthy,N/A,Diabetic-friendly Diet,Yes
29,11,5.0,Ragdoll,"Weight Loss, Loss of Appetite",Kidney Disease,50,169,21,38.5,Both,95,Severe,Heart Disease,"Dust, N/A",Balanced Diet,Yes
30,9,6.1,British Shorthair,"Lethargy, Coughing, Loss of Appetite",Diabetes,70,144,37,37.8,Both,6,Low,Healthy,N/A,High-protein Diet,No
31,10,2.6,Ragdoll,Sneezing,Heart Condition,60,213,28,39.0,Both,74,High,Gastrointestinal Issue,"Genetic, Poor Diet",Renal Support Diet,Yes
32,1,3.4,Persian,"Difficulty Breathing, Lethargy",Obesity,59,164,24,39.8,Outdoor,3,Low,Healthy,N/A,Diabetic-friendly Diet,No
33,8,2.7,Siamese,Weight Loss,None,53,159,23,39.5,Both,58,High,Respiratory Infection,"Stress, Dust",Diabetic-friendly Diet,Yes
34,7,5.0,Persian,"Sneezing, Vomiting",Kidney Disease,52,181,23,38.3,Outdoor,87,Severe,Diabetes,"Age-related, Poor Diet",Diabetic-friendly Diet,Yes
35,3,5.7,Persian,"Lethargy, None",None,58,171,23,39.1,Outdoor,61,High,Kidney Failure,"Dehydration, N/A",Diabetic-friendly Diet,Yes
36,2,6.5,British Shorthair,"Vomiting, Weight Loss, Sneezing",None,61,191,25,38.1,Outdoor,43,Moderate,Diabetes,Allergies,"Wet food, Hydration",No
37,8,4.4,Ragdoll,None,Arthritis,71,210,36,37.5,Both,85,Severe,Diabetes,"Poor Diet, Genetic",Low-sodium Diet,Yes
38,5,2.7,Ragdoll,"Weight Loss, Lethargy, Loss of Appetite",Kidney Disease,66,168,26,39.0,Both,50,Moderate,Respiratory Infection,N/A,Low-sodium Diet,No
39,14,3.2,Siamese,Lethargy,Obesity,56,170,34,39.6,Indoor,43,Moderate,Diabetes,"Stress, Allergies","Wet food, Hydration",No
40,15,2.6,Persian,Sneezing,Diabetes,52,201,34,39.2,Both,58,High,Diabetes,Poor Diet,Renal Support Diet,Yes
41,8,6.1,Scottish Fold,"Coughing, Loss of Appetite",Diabetes,64,154,33,38.7,Outdoor,33,Moderate,Respiratory Infection,Genetic,Diabetic-friendly Diet,No
42,6,4.0,Bengal,"Lethargy, None, Vomiting",Arthritis,45,206,22,39.3,Both,44,Moderate,Kidney Failure,Genetic,High-protein Diet,No
43,11,3.1,Scottish Fold,Loss of Appetite,Diabetes,74,157,21,38.4,Outdoor,67,High,Kidney Failure,Genetic,Low-sodium Diet,Yes
44,4,6.0,Sphynx,None,Obesity,67,168,29,38.1,Indoor,83,Severe,Gastrointestinal Issue,"Allergies, Stress","Wet food, Hydration",Yes
45,9,2.7,Persian,None,Arthritis,56,213,29,38.9,Indoor,83,Severe,Respiratory Infection,N/A,Balanced Diet,Yes
46,15,4.0,Sphynx,Coughing,Kidney Disease,45,182,21,39.4,Both,100,Severe,Healthy,N/A,High-protein Diet,Yes
47,5,3.9,Persian,None,Obesity,62,165,38,39.9,Indoor,2,Low,Healthy,N/A,"Wet food, Hydration",No
48,2,3.2,Persian,Loss of Appetite,None,62,219,27,39.5,Both,27,Moderate,Healthy,N/A,Diabetic-friendly Diet,No
